date,sales,series
2024-05-14 13:25:29,103.08974076542829,sales
2024-05-15 13:25:29,97.46612203310218,sales
2024-05-16 13:25:29,102.74522033880835,sales
2024-05-17 13:25:29,137.95941163021345,sales
2024-05-18 13:25:29,128.1942028681194,sales
2024-05-19 13:25:29,137.14316782491284,sales
2024-05-20 13:25:29,164.98210788960583,sales
2024-05-21 13:25:29,180.22995190091,sales
2024-05-22 13:25:29,179.49636459992763,sales
2024-05-23 13:25:29,199.55076429123062,sales
2024-05-24 13:25:29,191.43097509753832,sales
2024-05-25 13:25:29,205.68289640120835,sales
2024-05-26 13:25:29,239.14460383831326,sales
2024-05-27 13:25:29,225.2270478530742,sales
2024-05-28 13:25:29,243.06550623894438,sales
2024-05-29 13:25:29,245.34470031923743,sales
2024-05-30 13:25:29,248.6409679756959,sales
2024-05-31 13:25:29,278.6788008569076,sales
2024-06-01 13:25:29,258.20849793032687,sales
2024-06-02 13:25:29,306.94878611523274,sales
2024-06-03 13:25:29,308.3839149580813,sales
2024-06-04 13:25:29,315.1552565662365,sales
2024-06-05 13:25:29,309.89435917983997,sales
2024-06-06 13:25:29,317.56989418395506,sales
2024-06-07 13:25:29,326.9387954652843,sales
2024-06-08 13:25:29,335.5900689585477,sales
2024-06-09 13:25:29,371.6998145357038,sales
2024-06-10 13:25:29,365.8704753068585,sales
2024-06-11 13:25:29,377.35631711418677,sales
2024-06-12 13:25:29,375.7898260506347,sales
2024-06-13 13:25:29,391.58453992363627,sales
2024-06-14 13:25:29,414.85101755719216,sales
2024-06-15 13:25:29,401.6426613325357,sales
2024-06-16 13:25:29,437.3387162622045,sales
2024-06-17 13:25:29,440.59656668653764,sales
2024-06-18 13:25:29,466.58078995998983,sales
2024-06-19 13:25:29,445.90541536483715,sales
2024-06-20 13:25:29,468.5559125187581,sales
2024-06-21 13:25:29,474.92270394172806,sales
2024-06-22 13:25:29,475.82100092523643,sales
2024-06-23 13:25:29,508.51678104633885,sales
2024-06-24 13:25:29,507.9724953077945,sales
2024-06-25 13:25:29,501.0594663800009,sales
2024-06-26 13:25:29,525.7403121011516,sales
2024-06-27 13:25:29,546.3525100184225,sales
